,,,,13.9,17.9,-
0.27,0.44,0.52,0.61,,,
63.6,16,2.3,0.2,,,
57,35.9,6.4,0.6,,,
,,,,,,
,,,,23.3,3.2,-
0.11,0.27,0.42,0.64,,,
21.1,49.7,24.5,1.5,,,
35.7,42.6,18.5,3.2,,,
,,,,,,
,,,,26.6,0.1,-
0.02,0.11,0.27,0.44,,,
0.9,14.1,56.5,28.4,,,
17.4,33,34.1,15.4,,,
,,,,,,
,,,,23.8,1,-
0.05,0.09,0.13,0.27,,,
2,2.7,18.1,76.2,,,
18.8,23.4,31.3,26.5,,,
,,,,,,
,,,,10,30.7,-
0.35,0.45,0.55,0.65,,,
59.3,8.7,1.3,0,,,
65.4,29.5,4.7,0.4,,,
,,,,,,
,,,,6.8,46.8,-
0.45,0.55,0.65,0.75,,,
51.5,1.7,0,0,,,
79.2,19.4,1.4,0,,,
,,,,,,
